filename,label,label_idx
0000_audio_user_6233_1078239.97_1078389.97_eː.wav,eː,0
0000_audio_user_3626_180329.97_180499.97_eː.wav,eː,0
0000_audio_user_5361_330069.97_330169.97_æːɪ.wav,æːɪ,1
0000_audio_user_832_124669.97_124819.97_ɑɪ.wav,ɑɪ,2
0000_audio_user_1309_108739.97_108889.97_ɑɪ.wav,ɑɪ,2
0000_audio_user_6970_38689.97_38799.97_eː.wav,eː,0
0000_audio_user_6319_113659.97_113809.97_eː.wav,eː,0
0000_audio_user_210_94039.97_94299.97_ɑɪ.wav,ɑɪ,2
0000_audio_user_4389_62019.97_62169.97_æːɪ.wav,æːɪ,1
0000_audio_user_3410_134729.97_134869.97_eː.wav,eː,0
0000_audio_user_1361_99419.97_99639.97_æːɪ.wav,æːɪ,1
0000_audio_user_5929_93989.97_94139.97_ɑɪ.wav,ɑɪ,2
0000_audio_user_6566_852294.97_852434.97_æːɪ.wav,æːɪ,1
0000_audio_user_3499_45949.97_46049.97_eː.wav,eː,0
0000_audio_user_2484_69919.97_70059.97_ɑɪ.wav,ɑɪ,2
0000_audio_user_6566_342699.97_342919.97_eː.wav,eː,0
0000_audio_user_5771_27989.97_28139.97_eː.wav,eː,0
0000_audio_user_2811_30814.97_30979.97_eː.wav,eː,0
0000_audio_user_2268_115269.97_115479.97_ɑɪ.wav,ɑɪ,2
0000_audio_user_3024_23409.97_23529.97_eː.wav,eː,0
0000_audio_user_1773_182579.97_182749.97_eː.wav,eː,0
0000_audio_user_4191_138749.97_138899.97_eː.wav,eː,0
0000_audio_user_682_5819.97_6029.97_ɑɪ.wav,ɑɪ,2
0000_audio_user_18_125419.97_125599.97_ɑɪ.wav,ɑɪ,2
0000_audio_user_1309_305039.97_305139.97_æːɪ.wav,æːɪ,1
0000_audio_user_2339_145009.97_145159.97_eː.wav,eː,0
0000_audio_user_1773_67489.97_67699.97_eː.wav,eː,0
0000_audio_user_811_18799.97_19009.97_eː.wav,eː,0
0000_audio_user_1782_3899.97_4169.97_ɑɪ.wav,ɑɪ,2
0000_audio_user_6363_101129.97_101279.97_ɑɪ.wav,ɑɪ,2
0000_audio_user_5361_274659.97_274829.97_æːɪ.wav,æːɪ,1
0000_audio_user_7121_803719.97_803879.97_ɑɪ.wav,ɑɪ,2
0000_audio_user_890_113769.97_113899.97_ɑɪ.wav,ɑɪ,2
0000_audio_user_3286_117759.97_117879.97_eː.wav,eː,0
0000_audio_user_6198_277069.97_277199.97_eː.wav,eː,0
0000_audio_user_532_181519.97_181679.97_eː.wav,eː,0
0000_audio_user_1061_198294.97_198409.97_eː.wav,eː,0
0000_audio_user_1361_68369.97_68649.97_eː.wav,eː,0
